date,wbgtout_min,wbgtout_mean,wbgtout_max,wbgtin_min,wbgtin_mean,wbgtin_max,thi_min,thi_mean,thi_max
2025-01-09,5.393971797,15.027760234625,22.42563466,4.861740517,15.314761930177083,23.93599531,10.67030321,18.520751655729168,23.22586964
2025-01-10,14.38897212,18.135153098125,23.9368461,13.80438289,18.217929825833334,25.65825332,16.93032998,19.924719633125,22.86753855
2025-02-09,7.465930361,15.530593843843748,22.23266921,7.028557311,15.752129691447918,23.59222209,12.73535928,18.658605494479165,22.55253479
2025-02-10,11.22726562,16.801911954166666,23.43336351,10.57992891,16.950776438125,24.64169539,14.0525546,18.935223111666666,23.64427432
2025-03-08,9.157443298,13.953095219806452,17.85742989,8.565468008,14.178558077645162,18.90882387,12.86842554,16.781770848709677,19.57505467
2025-03-09,9.83041016,16.191092336,22.35876355,9.18218207,16.340042630364582,23.64834312,13.04541587,18.754247284375,22.94523237
2025-03-10,9.153062956,16.900381482041666,23.53786497,8.614987076,17.160630791093748,25.04683762,12.89339114,19.2650703103125,23.55265989
2025-04-08,2.7636062,10.756906541083334,18.22714234,1.85728905,10.599428174541666,19.06558767,5.53758004,13.720910963604167,19.87959631
2025-04-09,8.533349512,16.569535876260417,24.20528379,7.982252692,16.833883476572918,25.7144167,12.73875518,19.38069955145833,24.23357601
2025-04-10,12.16964285,17.179870784166667,23.6216395,11.55684857,17.2391457559375,25.26554211,15.00395182,19.153267775104165,23.02681768
2025-05-08,3.063462313,11.540291225833334,19.8951936,2.210813033,11.4011866465625,20.81272243,6.240070288,14.494797609072917,20.96564952
2025-05-09,10.7592585,17.627863885,25.01372849,10.2908374,17.812332712499998,26.32906266,14.49278052,20.098031020520832,24.64891359
2025-05-10,12.09615689,16.7990958759375,22.69853125,11.38363657,16.839557294270833,23.90572077,14.32890722,18.74590163072917,22.87223423
2025-06-08,4.189582987,12.569342396322916,21.27649445,3.420376367,12.51410093934375,22.41347472,7.338431953,15.442686913947917,22.09871641
2025-06-09,7.444350178,16.724308639875,25.22432114,6.865878748,16.935208255302083,26.57949494,11.79624408,19.409308003020833,24.73216228
2025-06-10,10.36968107,17.170215913125002,23.41421259,9.740982623,17.456225684510418,24.88397441,13.57744225,19.426622951979166,24.10163988
2025-07-08,4.615409569,12.959915597114582,21.92208277,3.876715439,12.968999345124999,23.22007174,8.441804431,16.202673083354167,22.42728236
2025-07-09,12.51486254,17.72061262322917,23.94772693,12.14026388,17.9314532928125,25.2164391,16.37080224,20.166666522499998,23.66797611
2025-07-10,10.13368772,18.419790569270834,25.24556101,9.737243179,18.789454308510418,26.97713672,14.66605572,20.712643871562502,24.97116427
2025-08-08,6.237569555,13.749766208125001,21.21151979,5.586322845,13.75271255775,22.19669543,10.41670181,16.894714055520833,22.19935942
2025-08-09,11.805914,17.522359244375,23.75151076,11.32728407,17.670709534270834,25.07342386,15.48202692,19.869182106041666,23.79473088
2025-08-10,15.73946359,20.760070151354167,27.01381608,15.31540104,20.984777611979165,28.57609829,18.46202459,22.278555101041665,25.44931759
2025-09-08,8.201885986,14.632288661552083,21.43246065,7.467384066,14.560732884927084,22.40660997,10.76955809,17.13670603625,21.97607128
2025-09-09,12.7291912,18.342834265104166,25.31461772,12.31013127,18.492855640520833,26.79416881,16.118552,20.4471299225,24.40484534
2025-09-10,16.34370199,20.271623554583332,26.06808565,15.73330818,20.306580090625,27.64903799,18.39272718,21.763852206666666,24.85691842
2025-10-08,8.582064952,14.75383227090625,21.52845354,7.828713922,14.677241721322916,22.61924684,11.25040875,17.265906765520835,22.01933985
2025-10-09,15.69365127,18.9438910303125,25.01776867,15.36716764,18.9153905878125,26.27207136,18.58858727,20.9396754065625,24.40167164
2025-10-10,15.99003939,19.630758016145833,25.651274,15.46425625,19.864752955729166,27.38158356,18.34155694,21.3199201975,24.42676641
2025-11-08,7.931298362,14.76528655975,22.52525678,7.255915562,14.729715062583333,23.96504374,11.4453224,17.468680913541665,22.4116345
2025-11-09,12.76911109,18.497836684479164,24.37975563,12.18796915,18.689742969166666,25.82174911,15.66667173,20.52389551614583,24.20193385
2025-11-10,12.13282312,19.1169042803125,25.60445789,11.7070646,19.446305441458332,27.20645828,15.88895462,21.117943321875,24.9093333
2025-12-08,8.02469838,13.431249872375,19.11968226,7.26834459,13.41572650709375,20.18093626,10.88935555,16.429177196041667,20.24523157
2025-12-09,11.94981593,18.14673122520833,24.77315377,11.43506687,18.337185516458334,26.17490439,15.40546782,20.356377567291666,24.13580919
2025-12-10,13.19492748,20.341243249479167,27.15363373,12.90739394,20.6770811425,28.58499181,17.24297591,22.11786903270833,26.21379383
